step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
8500,0.214388,3.00e-04,1607,21525.2,0.9648,13.66,0.6281
8600,0.217988,3.00e-04,1608,21779.0,0.9642,13.66,inf
8700,0.196082,3.00e-04,1608,22035.4,0.9672,13.66,0.5861
8800,0.197986,3.00e-04,1608,22289.8,0.9671,13.66,0.5431
8900,0.185203,3.00e-04,1609,22543.5,0.9689,13.66,0.5220
9000,0.182804,3.00e-04,1609,22797.2,0.9690,13.66,0.5173
9100,0.189772,3.00e-04,1609,23051.1,0.9681,13.66,0.5453
9200,0.190978,3.00e-04,1608,23304.9,0.9675,13.66,0.5513
9300,0.182430,3.00e-04,1606,23559.5,0.9687,13.66,0.5251
9400,0.184421,3.00e-04,1605,23814.3,0.9682,13.66,0.5308
9500,0.193218,3.00e-04,1606,24069.3,0.9670,13.66,0.5516
9600,0.189209,3.00e-04,1607,24324.7,0.9676,13.66,0.5318
9700,0.181683,3.00e-04,1607,24580.1,0.9685,13.66,0.5498
9800,0.191389,3.00e-04,1608,24835.7,0.9672,13.66,inf
9900,0.179716,3.00e-04,1608,25091.6,0.9688,13.66,0.5700
10000,0.171351,3.00e-04,1609,25347.2,0.9696,13.66,0.4889
10100,0.187241,3.00e-04,1608,25617.6,0.9681,13.66,0.5071
10200,0.177788,3.00e-04,1608,25873.6,0.9691,13.66,0.5164
10300,0.174682,3.00e-04,1607,26129.5,0.9692,13.66,0.5263
10400,0.188117,3.00e-04,1607,26385.5,0.9678,13.66,0.4937
10500,0.174170,3.00e-04,1607,26641.9,0.9696,13.66,0.4519
10600,0.172291,3.00e-04,1607,26898.3,0.9695,13.66,0.4846
10700,0.178423,3.00e-04,1607,27155.3,0.9691,13.66,0.4947
10800,0.174536,3.00e-04,1608,27411.6,0.9695,13.66,0.4945
10900,0.165156,3.00e-04,1608,27668.2,0.9709,13.66,0.4944
11000,0.183344,3.00e-04,1608,27923.6,0.9684,13.66,0.4997
11100,0.175598,3.00e-04,1609,28178.0,0.9693,13.66,0.5182
11200,0.165450,3.00e-04,1609,28431.6,0.9711,13.66,0.4758
11300,0.177232,3.00e-04,1609,28685.2,0.9695,13.66,0.5015
11400,0.172049,3.00e-04,1609,28939.3,0.9703,13.66,0.4918
11500,0.161266,3.00e-04,1609,29193.0,0.9714,13.66,0.4701
11600,0.177416,3.00e-04,1609,29446.3,0.9694,13.66,0.4724
11700,0.183071,3.00e-04,1610,29700.2,0.9686,13.66,0.5499
11800,0.166365,3.00e-04,1610,29953.7,0.9708,13.66,0.4687
11900,0.165419,3.00e-04,1611,30207.8,0.9710,13.66,0.4515
12000,0.175738,3.00e-04,1612,30461.4,0.9695,13.66,0.4668
12100,0.158552,3.00e-04,1612,30715.0,0.9720,13.66,0.4437
12200,0.159743,3.00e-04,1613,30968.9,0.9717,13.66,0.4293
12300,0.163233,3.00e-04,1613,31222.8,0.9711,13.66,0.4499
12400,0.150989,3.00e-04,1613,31476.2,0.9732,13.66,0.4135
12500,0.150350,3.00e-04,1614,31730.3,0.9731,13.66,0.4219
12600,0.169541,3.00e-04,1615,31984.2,0.9711,13.66,0.4191
12700,0.153828,3.00e-04,1617,32238.6,0.9733,13.66,0.4042
12800,0.152359,3.00e-04,1618,32492.7,0.9733,13.66,0.4327
12900,0.161421,3.00e-04,1618,32746.3,0.9720,13.66,0.4648
13000,0.151217,3.00e-04,1618,33000.2,0.9733,13.66,0.4434
13100,0.143788,3.00e-04,1618,33253.9,0.9744,13.66,0.4349
13200,0.149237,3.00e-04,1619,33507.7,0.9742,13.66,0.3963
13300,0.145346,3.00e-04,1620,33761.5,0.9744,13.66,0.4132
13400,0.140153,3.00e-04,1622,34015.3,0.9754,13.66,0.3950
13500,0.144953,3.00e-04,1622,34269.0,0.9745,13.66,0.3937
13600,0.138005,3.00e-04,1621,34523.1,0.9750,13.66,0.3936
13700,0.133920,3.00e-04,1621,34777.3,0.9756,13.66,0.4105
13800,0.148931,3.00e-04,1621,35038.5,0.9735,13.66,0.4168
13900,0.151607,3.00e-04,1621,35300.2,0.9735,13.66,0.4234
14000,0.143253,3.00e-04,1621,35559.4,0.9745,13.66,0.4023
14100,0.152427,3.00e-04,1622,35817.8,0.9730,13.66,0.4420
14200,0.152056,3.00e-04,1623,36077.0,0.9732,13.66,0.4195
14300,0.143157,3.00e-04,1623,36336.8,0.9746,13.66,0.3910
14400,0.156363,3.00e-04,1624,36596.8,0.9725,13.66,0.4284
14500,0.161129,3.00e-04,1623,36857.0,0.9715,13.66,0.4173
14600,0.144448,3.00e-04,1623,37113.9,0.9739,13.66,0.3941
