step,loss,lr,tokens_per_sec,elapsed_sec
14100,4.370569,1.00e-04,22889,2616.4
14200,4.387701,1.00e-04,22905,2634.8
14300,4.314572,1.00e-04,22920,2653.3
14400,4.310178,1.00e-04,22930,2671.8
14500,4.388859,1.00e-04,22928,2690.3
14600,4.304211,1.00e-04,22924,2708.8
14700,4.277286,1.00e-04,22922,2727.3
14800,4.333621,1.00e-04,22923,2745.8
14900,4.257053,1.00e-04,22926,2764.3
15000,4.262814,1.00e-04,22928,2782.8
15100,4.192846,1.00e-04,22923,2801.3
15200,4.107192,1.00e-04,22917,2819.8
15300,4.038434,1.00e-04,22910,2838.3
15400,4.315420,1.00e-04,22909,2856.8
15500,4.210214,1.00e-04,22909,2875.3
15600,4.198105,1.00e-04,22910,2893.7
15700,4.387135,1.00e-04,22923,2912.2
15800,4.288201,1.00e-04,22940,2930.7
15900,4.192866,1.00e-04,22955,2949.2
16000,4.133649,1.00e-04,22973,2967.7
16100,4.052717,1.00e-04,22994,2986.2
16200,4.005103,1.00e-04,23012,3004.7
16300,4.186110,1.00e-04,23037,3023.1
16400,4.217138,1.00e-04,23067,3041.6
16500,4.147264,1.00e-04,23096,3060.1
16600,4.091546,1.00e-04,23119,3078.6
16700,4.063569,1.00e-04,23136,3097.1
16800,3.994797,1.00e-04,23151,3115.6
16900,4.026714,1.00e-04,23165,3134.1
17000,4.061588,1.00e-04,23178,3152.6
17100,3.994099,1.00e-04,23188,3171.0
17200,3.957780,1.00e-04,23201,3189.5
17300,3.897982,1.00e-04,23212,3208.0
17400,3.833375,1.00e-04,23225,3226.5
17500,3.791967,1.00e-04,23236,3245.0
17600,3.949818,1.00e-04,23246,3263.5
17700,3.858845,1.00e-04,23253,3282.0
17800,3.831660,1.00e-04,23263,3300.4
17900,3.925923,1.00e-04,23280,3318.9
18000,3.917265,1.00e-04,23294,3337.4
18100,3.852893,1.00e-04,23307,3355.9
18200,3.971927,1.00e-04,23318,3374.4
18300,3.894336,1.00e-04,23327,3392.8
18400,3.869355,1.00e-04,23334,3411.3
18500,3.859166,1.00e-04,23344,3429.8
18600,3.805919,1.00e-04,23355,3448.3
18700,3.792696,1.00e-04,23365,3466.8
18800,3.913343,1.00e-04,23367,3485.3
18900,3.967745,1.00e-04,23365,3503.7
19000,3.890034,1.00e-04,23361,3522.2
19100,3.903659,1.00e-04,23359,3540.7
19200,3.903843,1.00e-04,23354,3559.2
19300,3.804594,1.00e-04,23351,3577.7
19400,3.875900,1.00e-04,23349,3596.2
19500,3.997287,1.00e-04,23351,3614.7
19600,3.938136,1.00e-04,23353,3633.2
19700,3.919846,1.00e-04,23352,3651.7
19800,3.877827,1.00e-04,23340,3670.2
19900,3.826264,1.00e-04,23329,3688.7
20000,3.825630,1.00e-04,23321,3707.2
20100,4.082270,1.00e-04,23354,3726.0
20200,4.005862,1.00e-04,23389,3744.5
20300,3.917387,1.00e-04,23425,3763.0
20400,3.999173,1.00e-04,23440,3781.5
20500,3.921425,1.00e-04,23456,3799.9
20600,3.878681,1.00e-04,23470,3818.4
20700,3.989164,1.00e-04,23482,3836.9
20800,3.948170,1.00e-04,23495,3855.4
20900,3.915566,1.00e-04,23509,3873.9
21000,3.933572,1.00e-04,23517,3892.3
21100,3.872745,1.00e-04,23525,3910.8
21200,3.838647,1.00e-04,23532,3929.3
21300,3.892871,1.00e-04,23537,3947.8
21400,3.866712,1.00e-04,23540,3966.3
21500,3.800686,1.00e-04,23544,3984.7
