step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy
111700,0.072361,3.00e-05,15506,1181.2,0.9884
111800,0.080237,3.00e-05,15513,1191.3,0.9878
111900,0.081105,3.00e-05,15520,1201.3,0.9870
112000,0.060300,3.00e-05,15523,1211.4,0.9901
112100,0.052519,3.00e-05,15525,1221.5,0.9914
112200,0.066282,3.00e-05,15538,1231.5,0.9894
112300,0.063508,3.00e-05,15547,1241.5,0.9892
112400,0.064435,3.00e-05,15554,1251.6,0.9890
112500,0.070272,3.00e-05,15557,1261.6,0.9889
112600,0.060968,3.00e-05,15560,1271.7,0.9888
112700,0.068288,3.00e-05,15574,1281.7,0.9888
112800,0.056923,3.00e-05,15581,1291.8,0.9905
112900,0.065550,3.00e-05,15585,1301.8,0.9894
113000,0.070072,3.00e-05,15589,1311.8,0.9883
113100,0.063286,3.00e-05,15595,1321.9,0.9884
113200,0.070054,3.00e-05,15597,1331.9,0.9879
113300,0.067446,3.00e-05,15597,1342.0,0.9882
113400,0.060423,3.00e-05,15593,1352.0,0.9893
113500,0.059563,3.00e-05,15587,1362.1,0.9890
113600,0.064621,3.00e-05,15579,1372.1,0.9888
113700,0.073709,3.00e-05,15575,1382.1,0.9869
113800,0.079175,3.00e-05,15582,1392.2,0.9874
113900,0.075003,3.00e-05,15590,1402.2,0.9873
114000,0.073552,3.00e-05,15593,1412.3,0.9877
114100,0.070412,3.00e-05,15592,1422.3,0.9878
114200,0.062822,3.00e-05,15592,1432.4,0.9896
114300,0.067923,3.00e-05,15593,1442.4,0.9880
114400,0.058584,3.00e-05,15593,1452.5,0.9898
114500,0.065643,3.00e-05,15596,1462.5,0.9887
114600,0.064997,3.00e-05,15600,1472.5,0.9893
114700,0.051651,3.00e-05,15603,1482.6,0.9913
114800,0.051267,3.00e-05,15607,1492.6,0.9913
114900,0.071056,3.00e-05,15609,1502.7,0.9878
115000,0.061119,3.00e-05,15614,1512.7,0.9890
115100,0.059791,3.00e-05,15619,1522.8,0.9899
115200,0.065147,3.00e-05,15623,1532.8,0.9887
115300,0.063235,3.00e-05,15628,1542.9,0.9893
115400,0.061310,3.00e-05,15633,1552.9,0.9891
115500,0.067592,3.00e-05,15637,1563.0,0.9883
115600,0.071284,3.00e-05,15643,1573.1,0.9880
115700,0.081719,3.00e-05,15653,1583.1,0.9859
115800,0.083096,3.00e-05,15661,1593.2,0.9863
115900,0.067968,3.00e-05,15671,1603.2,0.9891
116000,0.071822,3.00e-05,15679,1613.3,0.9878
116100,0.074521,3.00e-05,15688,1623.3,0.9874
116200,0.071882,3.00e-05,15697,1633.4,0.9868
116300,0.074511,3.00e-05,15707,1643.4,0.9873
116400,0.058963,3.00e-05,15717,1653.5,0.9897
116500,0.074697,3.00e-05,15726,1663.5,0.9873
116600,0.077228,3.00e-05,15735,1673.6,0.9870
116700,0.074844,3.00e-05,15742,1683.6,0.9877
116800,0.078069,3.00e-05,15750,1693.6,0.9863
116900,0.066023,3.00e-05,15755,1703.7,0.9888
117000,0.060174,3.00e-05,15762,1713.7,0.9897
117100,0.072419,3.00e-05,15767,1723.8,0.9876
117200,0.063133,3.00e-05,15774,1733.8,0.9896
117300,0.057953,3.00e-05,15781,1743.9,0.9903
117400,0.057584,3.00e-05,15792,1753.9,0.9909
117500,0.052828,3.00e-05,15805,1763.9,0.9910
117600,0.054273,3.00e-05,15818,1774.0,0.9909
117700,0.050212,3.00e-05,15829,1784.0,0.9915
117800,0.048587,3.00e-05,15840,1794.1,0.9923
117900,0.051256,3.00e-05,15849,1804.1,0.9916
118000,0.054354,3.00e-05,15861,1814.2,0.9906
118100,0.052047,3.00e-05,15872,1824.3,0.9908
118200,0.054458,3.00e-05,15885,1834.3,0.9911
118300,0.054542,3.00e-05,15889,1844.3,0.9907
118400,0.054109,3.00e-05,15892,1854.4,0.9904
118500,0.049061,3.00e-05,15894,1864.4,0.9902
118600,0.050517,3.00e-05,15896,1874.5,0.9916
118700,0.045148,3.00e-05,15901,1884.5,0.9925
118800,0.039730,3.00e-05,15914,1894.6,0.9932
118900,0.043899,3.00e-05,15926,1904.6,0.9931
119000,0.060215,3.00e-05,15941,1914.7,0.9912
119100,0.063172,3.00e-05,15958,1924.7,0.9901
119200,0.063493,3.00e-05,15970,1934.8,0.9901
119300,0.042488,3.00e-05,15977,1944.8,0.9931
119400,0.060413,3.00e-05,15981,1954.9,0.9900
119500,0.059149,3.00e-05,15983,1964.9,0.9896
119600,0.068077,3.00e-05,15985,1975.0,0.9889
119700,0.061238,3.00e-05,15988,1985.0,0.9895
119800,0.070447,3.00e-05,15993,1995.1,0.9888
119900,0.060282,3.00e-05,15998,2005.1,0.9905
120000,0.068916,3.00e-05,16003,2015.1,0.9892
120100,0.076036,3.00e-05,16007,2025.6,0.9899
120200,0.052463,3.00e-05,16015,2035.6,0.9917
120300,0.075173,3.00e-05,16019,2045.7,0.9870
120400,0.081049,3.00e-05,16025,2055.7,0.9861
120500,0.056590,3.00e-05,16027,2065.8,0.9892
120600,0.059105,3.00e-05,16023,2075.8,0.9905
120700,0.079811,3.00e-05,16030,2085.9,0.9871
120800,0.041660,3.00e-05,16032,2096.0,0.9929
120900,0.046076,3.00e-05,16034,2106.0,0.9919
121000,0.053392,3.00e-05,16031,2116.1,0.9906
121100,0.065050,3.00e-05,16027,2126.1,0.9895
121200,0.048309,3.00e-05,16022,2136.2,0.9914
121300,0.047475,3.00e-05,16019,2146.2,0.9919
121400,0.059710,3.00e-05,16014,2156.3,0.9898
121500,0.048121,3.00e-05,16006,2166.3,0.9915
121600,0.050123,3.00e-05,16001,2176.4,0.9907
121700,0.059846,3.00e-05,16002,2186.5,0.9899
